ver, CSIG, CBAK, COVL, PESQ, STOI, SegSNR, SNR
irm_demand_vb_e175, 4.19, 3.24, 3.48, 2.75, 93.83, 7.14, 16.14
irm_demand_vb_e200, 4.20, 3.25, 3.48, 2.74, 93.72, 7.39, 16.27
mmse-stsa_db_demand_vb_e100, 3.47, 2.31, 2.68, 1.96, 88.69, -0.35, 4.53
mmse-stsa_db_demand_vb_e125, 3.51, 2.24, 2.73, 2.03, 90.08, -1.37, 3.99
mmse-stsa_db_demand_vb_e150, 3.70, 2.74, 2.97, 2.28, 90.97, 3.62, 10.76
mmse-stsa_db_demand_vb_e175, 3.49, 2.42, 2.71, 2.02, 88.17, 1.34, 7.83
mmse-stsa_db_demand_vb_e200, 3.72, 2.71, 2.98, 2.27, 90.78, 3.32, 10.36
mmse-lsa_db_demand_vb_e100, 3.25, 2.28, 2.50, 1.88, 86.90, 1.37, 6.90
mmse-lsa_db_demand_vb_e125, 3.72, 2.79, 3.03, 2.38, 90.86, 3.80, 10.67
mmse-lsa_db_demand_vb_e150, 3.77, 2.78, 3.03, 2.33, 90.48, 3.83, 10.67
mmse-lsa_db_demand_vb_e175, 3.71, 2.71, 3.00, 2.33, 90.85, 3.01, 9.69
mmse-lsa_db_demand_vb_e200, 3.76, 2.79, 3.04, 2.35, 90.45, 3.91, 10.72
fft_mask_demand_vb_e100_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e125_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e150_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e175_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e200_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
xi_bar_mse_demand_vb_e100_mmse-lsa, 4.21, 3.34, 3.54, 2.84, 93.59, 8.01, 16.85
xi_bar_mse_demand_vb_e125_mmse-lsa, 4.21, 3.40, 3.55, 2.86, 93.53, 8.84, 17.65
xi_bar_mse_demand_vb_e150_mmse-lsa, 4.19, 3.35, 3.52, 2.82, 93.79, 8.22, 17.00
xi_bar_mse_demand_vb_e175_mmse-lsa, 4.22, 3.39, 3.56, 2.87, 93.73, 8.55, 17.37
xi_bar_mse_demand_vb_e200_mmse-lsa, 4.24, 3.39, 3.57, 2.88, 93.79, 8.36, 17.07
xi_gamma_bar_mse_demand_vb_e100_mmse-lsa, 4.22, 3.39, 3.55, 2.85, 93.54, 8.72, 17.57
xi_gamma_bar_mse_demand_vb_e125_mmse-lsa, 4.22, 3.38, 3.55, 2.85, 93.65, 8.47, 17.36
xi_gamma_bar_mse_demand_vb_e150_mmse-lsa, 4.21, 3.40, 3.55, 2.85, 93.61, 8.81, 17.54
xi_gamma_bar_mse_demand_vb_e175_mmse-lsa, 4.21, 3.38, 3.53, 2.83, 93.76, 8.59, 17.49
xi_gamma_bar_mse_demand_vb_e200_mmse-lsa, 4.22, 3.36, 3.54, 2.83, 93.67, 8.33, 17.13
mag_bar_mse_demand_vb_e100, 3.85, 2.73, 3.02, 2.19, 90.94, 3.33, 5.61
mag_bar_mse_demand_vb_e125, 3.85, 2.73, 3.01, 2.18, 91.23, 3.45, 5.71
mag_bar_mse_demand_vb_e150, 3.90, 2.78, 3.07, 2.25, 91.13, 3.56, 6.01
mag_bar_mse_demand_vb_e175, 3.87, 2.75, 3.04, 2.20, 91.37, 3.48, 5.81
mag_bar_mse_demand_vb_e200, 3.90, 2.77, 3.07, 2.24, 91.29, 3.52, 5.59
irm_mse_demand_vb_e100, 4.17, 3.26, 3.46, 2.72, 93.85, 7.66, 16.65
irm_mse_demand_vb_e125, 4.17, 3.29, 3.46, 2.73, 93.74, 8.04, 17.02
irm_mse_demand_vb_e150, 4.18, 3.27, 3.48, 2.75, 93.70, 7.66, 16.55
irm_mse_demand_vb_e175, 4.20, 3.28, 3.48, 2.74, 93.86, 7.77, 16.75
irm_mse_demand_vb_e200, 4.18, 3.29, 3.48, 2.76, 93.84, 7.79, 16.88
noisy_speech, 3.50, 2.47, 2.73, 1.99, 91.53, 1.71, 8.39
xi_db_demand_vb_e100_srwf, 4.17, 3.29, 3.47, 2.75, 93.41, 7.96, 16.83
xi_db_demand_vb_e125_srwf, 4.18, 3.32, 3.48, 2.76, 93.36, 8.38, 17.20
xi_db_demand_vb_e150_srwf, 4.13, 3.23, 3.43, 2.71, 93.57, 7.30, 16.00
xi_db_demand_vb_e175_srwf, 4.19, 3.30, 3.50, 2.78, 93.53, 7.87, 16.70
xi_db_demand_vb_e200_srwf, 4.20, 3.31, 3.50, 2.78, 93.47, 8.09, 16.91
xi_db_std_demand_vb_e100_srwf, 4.19, 3.31, 3.47, 2.73, 93.51, 8.36, 17.25
xi_db_std_demand_vb_e125_srwf, 4.16, 3.25, 3.45, 2.71, 93.66, 7.68, 16.50
xi_db_std_demand_vb_e150_srwf, 4.17, 3.28, 3.46, 2.73, 93.63, 7.96, 16.59
xi_db_std_demand_vb_e175_srwf, 4.18, 3.29, 3.47, 2.74, 93.74, 7.91, 16.62
xi_db_std_demand_vb_e200_srwf, 4.17, 3.26, 3.48, 2.77, 93.58, 7.27, 15.86
xi_bar_mse_demand_vb_e100_srwf, 4.17, 3.23, 3.47, 2.74, 93.64, 7.04, 15.88
xi_bar_mse_demand_vb_e125_srwf, 4.18, 3.31, 3.49, 2.77, 93.60, 8.12, 16.97
xi_bar_mse_demand_vb_e150_srwf, 4.15, 3.24, 3.44, 2.71, 93.82, 7.31, 16.10
xi_bar_mse_demand_vb_e175_srwf, 4.18, 3.29, 3.49, 2.77, 93.78, 7.70, 16.55
xi_bar_mse_demand_vb_e200_srwf, 4.21, 3.29, 3.51, 2.78, 93.85, 7.53, 16.23
