noise, ver, -5, 0, 5, 10, 15
SIGNAL020, noisy_speech, 98.83, 99.60, 63.17, 30.14, 18.45
SIGNAL020, irm_mse_e150, 89.38, 56.66, 23.94, 14.48, 14.19
SIGNAL020, irm_e150, 91.61, 50.67, 28.00, 15.88, 10.40
SIGNAL020, mag_norm_e150, 84.49, 60.11, 30.34, 19.20, 16.79
SIGNAL020, pow_db_e150, 89.33, 60.10, 41.54, 21.88, 15.98
SIGNAL020, xi_bar_mse_e150_mmse-lsa, 95.83, 58.92, 27.62, 14.13, 13.83
SIGNAL020, xi_bar_e150_mmse-lsa, 90.00, 61.19, 32.16, 13.08, 9.90
SIGNAL020, xi_gamma_bar_mse_e150_mmse-lsa, 90.66, 50.05, 24.82, 13.38, 9.39
SIGNAL020, xi_gamma_bar_e150_mmse-lsa, 88.68, 54.66, 35.05, 14.20, 14.05
