noise, ver, -5, 0, 5, 10, 15
26270, noisy_speech, 98.05, 88.60, 56.59, 26.24, 16.16
26270, irm_mse_e150, 83.57, 52.56, 24.88, 14.54, 14.34
26270, irm_e150, 83.15, 55.16, 26.20, 16.09, 13.75
26270, mag_norm_e150, 81.86, 56.65, 25.67, 17.49, 14.45
26270, pow_db_e150, 87.23, 61.21, 40.97, 23.50, 14.24
26270, xi_bar_mse_e150_mmse-lsa, 80.28, 51.50, 29.06, 15.18, 9.69
26270, xi_bar_e150_mmse-lsa, 80.32, 61.17, 28.53, 14.67, 13.79
26270, xi_gamma_bar_mse_e150_mmse-lsa, 83.75, 59.38, 29.21, 14.64, 12.46
26270, xi_gamma_bar_e150_mmse-lsa, 82.78, 53.33, 29.01, 14.00, 13.79
