noise, ver, -5, 0, 5, 10, 15
SIGNAL021, noisy_speech, 97.66, 97.14, 66.70, 31.86, 14.83
SIGNAL021, irm_mse_e150, 90.79, 65.78, 47.02, 25.69, 6.38
SIGNAL021, irm_e150, 90.82, 68.79, 49.43, 28.17, 5.30
SIGNAL021, mag_norm_e150, 93.78, 63.14, 53.06, 23.73, 9.17
SIGNAL021, pow_db_e150, 93.12, 81.19, 60.41, 37.97, 22.81
SIGNAL021, xi_bar_mse_e150_mmse-lsa, 92.35, 77.96, 62.36, 28.07, 8.25
SIGNAL021, xi_bar_e150_mmse-lsa, 94.96, 73.41, 47.19, 25.63, 14.52
SIGNAL021, xi_gamma_bar_mse_e150_mmse-lsa, 91.76, 67.23, 45.57, 30.16, 15.70
SIGNAL021, xi_gamma_bar_e150_mmse-lsa, 91.57, 77.00, 58.66, 31.09, 11.92
