epoch,loss,val_loss
0,0.0006285195122472942,0.0001591311884112656
1,0.0003464657929725945,0.0006092543480917811
2,0.0007812883704900742,0.00013223775022197515
3,0.0004597997758537531,0.0002716366434469819
4,0.0003053500549867749,9.095540008274838e-05
5,0.0005895327194593847,0.00031953497091308236
6,0.0003485867055132985,0.0001041079085553065
7,0.00040118154720403254,0.0002882853150367737
8,0.0002802734379656613,0.0002290466072736308
9,0.0002598136488813907,0.00023306241200771183
10,0.0004239038098603487,0.0005633890395984054
11,0.00040783637086860836,0.00026956465444527566
12,0.0004043687949888408,0.0003874966932926327
13,0.00048217715811915696,0.00011982223077211529
14,0.0003943412157241255,0.0001555085036670789
15,0.00032952416222542524,0.0002536913088988513
16,0.0003708066651597619,0.0002009755262406543
17,0.0005738656036555767,0.00018847343744710088
18,0.000332546274876222,0.0002464574936311692
19,0.0005924893193878233,0.00020830305584240705
20,0.00038564950227737427,0.00016011040133889765
21,0.00048217279254458845,0.00019339524442330003
22,0.00046890019439160824,0.000374177354387939
23,0.0007428801036439836,0.00023500384122598916
24,0.00046243277029134333,0.00023651366063859314
25,0.000313180877128616,0.00018562165496405214
26,0.00040400613215751946,0.00012507656356319785
27,0.00038173075881786644,0.00018254290625918657
28,0.000754391890950501,0.00020608202612493187
29,0.0004349517112132162,0.0001837245508795604
30,0.00038926771958358586,0.00024464543093927205
31,0.00033032233477570117,0.0004123141407035291
32,0.000555558770429343,0.0002409048902336508
33,0.0003943572228308767,0.00034668194712139666
34,0.0005151123623363674,0.0003020177537109703
35,0.00036487283068709075,0.0010896835010498762
36,0.0005090216873213649,0.00030796928331255913
37,0.000449605897301808,0.0004052254662383348
38,0.0005291707348078489,0.0003814967058133334
39,0.0006468815845437348,0.0003917897120118141
40,0.0006167602841742337,0.00018985100905410945
41,0.0004973319009877741,0.0003753709315788001
0,7.191854092525318e-05,3.8336402212735265e-06
1,5.3653225222660694e-06,3.833658411167562e-06
2,5.697769211110426e-06,3.833658411167562e-06
3,6.62754518998554e-06,3.83365750167286e-06
4,5.6395101637463085e-06,3.833657956420211e-06
5,5.997624612064101e-06,3.833652954199351e-06
6,6.2319772951013874e-06,3.833622940874193e-06
7,6.691445378237404e-06,3.833655682683457e-06
8,5.9080816754431e-06,3.83365750167286e-06
9,5.2927898650523275e-06,3.833657046925509e-06
10,6.806305918871658e-06,3.833654773188755e-06
11,6.3512393353448715e-06,3.833654318441404e-06
12,7.079775514284847e-06,3.833659775409615e-06
13,8.421936399827246e-06,3.833652954199351e-06
14,4.575618731905706e-06,3.833651589957299e-06
15,6.633520570176188e-06,3.8336602301569656e-06
16,6.309705440799007e-06,3.833647951978492e-06
17,5.398781922849594e-06,3.833650225715246e-06
18,6.571406629518606e-06,3.833659320662264e-06
19,6.767644663341343e-06,3.833657046925509e-06
20,6.444073733291589e-06,3.8336565921781585e-06
21,6.969366495468421e-06,3.833657046925509e-06
22,6.500968538603047e-06,3.8336561374308076e-06
23,5.024880010751076e-06,3.833655227936106e-06
24,5.85083716941881e-06,3.833658411167562e-06
25,5.781042546004755e-06,3.833654773188755e-06
26,6.274788574955892e-06,3.833653863694053e-06
27,7.081868716340978e-06,3.833653863694053e-06
28,6.71209636493586e-06,3.833652954199351e-06
29,5.916817372053629e-06,3.833654773188755e-06
30,6.956848210393218e-06,3.833659775409615e-06
31,6.504305929411203e-06,3.833657046925509e-06
32,7.193781584646786e-06,3.8336524994520005e-06
33,5.392854291130789e-06,3.8336561374308076e-06
34,6.48130708214012e-06,3.8336524994520005e-06
35,7.163470399973448e-06,3.833652954199351e-06
36,5.370265171222854e-06,3.833650225715246e-06
37,6.655532160948496e-06,3.833654773188755e-06
38,6.50180618322338e-06,3.833651589957299e-06
39,8.338024599652272e-06,3.833652954199351e-06
40,6.572022812179057e-06,3.8336524994520005e-06
41,5.546933607547544e-06,3.8336524994520005e-06
42,6.972411483729957e-06,3.8336524994520005e-06
43,6.659900464001112e-06,3.833649316220544e-06
44,5.383690222515725e-06,3.833649316220544e-06
45,4.848566277360078e-06,3.833650225715246e-06
46,7.072019798215479e-06,3.833650225715246e-06
47,5.602077180810738e-06,3.833650225715246e-06
48,4.740204985864693e-06,3.833644768747035e-06
49,6.979686986596789e-06,3.833653863694053e-06
50,4.803789579455042e-06,3.8337202568072826e-06
51,6.485171070380602e-06,3.833654318441404e-06
52,4.973263457941357e-06,3.833647951978492e-06
53,5.887739007448545e-06,3.833646132989088e-06
54,4.700762929132907e-06,3.83364704248379e-06
54,5.024961865274236e-06,3.833646132989088e-06
55,7.362369160546223e-06,3.833651135209948e-06
56,4.510402504820377e-06,3.83364204026293e-06
57,8.114849151752423e-06,3.833658865914913e-06
58,8.137683835229836e-06,3.833653408946702e-06
59,5.290734407026321e-06,3.833649770967895e-06
60,6.861510428279871e-06,3.833653863694053e-06
61,4.887072009296389e-06,3.83364704248379e-06
62,6.154219136078609e-06,3.833649770967895e-06
63,7.1982922236202285e-06,3.833650225715246e-06
